naam,volledige naam,partij,functie,db-uri,abstract
Fred Schonewille,Fred Schonewille,Lijst Pim Fortuyn,Lid Tweede Kamer,http://nl.dbpedia.org/resource/Fred_Schonewille,"Fred Schonewille (Assen, 3 maart 1969) is een Nederlands jurist en voormalig politicus."
Gerard van As,Gerard Pieter van As,Lijst Pim Fortuyn,Lid Tweede Kamer;Lid Tweede Kamer;Wethouder in Alphen aan den Rijn;Wethouder in Alphen aan den Rijn;Lid gemeenteraad Alphen aan den Rijn;Lid gemeenteraad Alphen aan den Rijn;Lid Tweede Kamer;Lid Tweede Kamer;Lid gemeenteraad Alphen aan den Rijn;Lid gemeenteraad Alphen aan den Rijn;Wethouder in Alphen aan den Rijn;Wethouder in Alphen aan den Rijn;Lid Tweede Kamer;Lid Tweede Kamer;Wethouder in Alphen aan den Rijn;Wethouder in Alphen aan den Rijn;Lid gemeenteraad Alphen aan den Rijn;Lid gemeenteraad Alphen aan den Rijn;Lid Tweede Kamer;Lid Tweede Kamer;Lid gemeenteraad Alphen aan den Rijn;Lid gemeenteraad Alphen aan den Rijn;Wethouder in Alphen aan den Rijn;Wethouder in Alphen aan den Rijn,http://nl.dbpedia.org/resource/Gerard_van_As,"Gerard Pieter van As (Gouda, 12 november 1944) is een Nederlands politicus. Hij zat van 23 mei 2002 tot augustus 2006 namens de LPF in de Tweede Kamer. Op 16 augustus 2006 maakte hij bekend vanwege een meningsverschil met het partijbestuur per direct van de LPF over te stappen naar de Groep Nawijn. Van As was vanaf 5 oktober 2004 tot zijn overstap fractievoorzitter en politiek leider van de LPF."
Gerlof Jukema,Gerlof Johannes Jukema,Lijst Pim Fortuyn,Lid Tweede Kamer,http://nl.dbpedia.org/resource/Gerlof_Jukema,"Gerlof Johannes Jukema (Nijverdal, 19 november 1958) is een Nederlands arts en oud-politicus voor de LPF.Jukema werd geboren te Nijverdal, als zoon van een predikant en een maatschappelijk werkster. Hij volgde het atheneum te Hengelo en twee gymnasia te Den Haag. Jukema studeerde van 1979 tot 1986 geneeskunde aan de Universiteit Leiden, waarna hij werd opgeleid tot longarts. Hij was tot 31 maart 2012 werkzaam als longarts in het Waterlandziekenhuis te Purmerend en was van 1993 tot 1996 tevens lid van het stafbestuur aldaar."
Gonny van Oudenallen,Hillegonda Francisca Maria van Oudenallen,Lijst Pim Fortuyn,Lid Tweede Kamer;Lid gemeenteraad Amsterdam,http://nl.dbpedia.org/resource/Gonny_van_Oudenallen,"Hillegonda Francisca Maria (Gonny) van Oudenallen (Amsterdam, 31 januari 1957) is een Nederlands politiek activiste en voormalig politica. Van 7 juli 2006 tot 30 november 2006 was Van Oudenallen als de eenmansfractie Groep Van Oudenallen lid van de Tweede Kamer der Staten-Generaal na te zijn gekozen als lid van de LPF. Eerder was ze van april 1998 tot maart 2006 gemeenteraadslid in Amsterdam voor de partij Mokum Mobiel."
Hans Smolders,Henricus Adrianus Josephus  Smolders,Lijst Pim Fortuyn,Lid Tweede Kamer;Lid gemeenteraad van Tilburg;Lid Tweede Kamer;Lid gemeenteraad van Tilburg,http://nl.dbpedia.org/resource/Hans_Smolders,"Henricus Adrianus Josephus (Hans) Smolders (Tilburg, 15 september 1960) is een Nederlands politicus en een voormalig ijshockey-international. Hij was namens de Lijst Pim Fortuyn (LPF) lid van de Tweede Kamer en zat van 2006 tot 2010 en sinds 2014 namens de Lijst Smolders Tilburg in de gemeenteraad van Tilburg."
Harry Smulders,Henricus Josephus Clemens Smulders,Lijst Pim Fortuyn,Lid Tweede Kamer,http://nl.dbpedia.org/resource/Harry_Smulders,"Henricus Josephus Clemens Smulders (Tilburg, 17 oktober 1942) is een Nederlands ondernemer, voormalig bankier en voormalig politicus namens de Lijst Pim Fortuyn.Smulders volgde zowel koopvaardij- als horecaopleidingen. Hij was werkzaam bij de Rotterdamsche Lloyd voordat hij tussen 1970 en 1990 bij verschillende banken en verzekeraars werkzaam was. Hierna werkte hij als zelfstandig interim- en projectmanager.In maart 2002 werd hij lid van de LPF en namens die partij zat hij van 25 september 2002 tot 30 januari 2003 in de Tweede Kamer. Hij was lid van de enquêtecommissie bouwnijverheid. Tijdens de verhoren viel hij op omdat hij soms duidelijk zijn ergernis liet blijken over de misstanden in de bouw."
Harry Wijnschenk,Hartog Hank Richard Wijnschenk,Lijst Pim Fortuyn,Lid Tweede Kamer,http://nl.dbpedia.org/resource/Harry_Wijnschenk,"Hartog Hank Richard (Harry) Wijnschenk (Amsterdam, 24 januari 1964) is een Nederlands voormalig politicus. Hij was tijdens het kabinet-Balkenende I lid van de Tweede Kamer der Staten-Generaal namens de Lijst Pim Fortuyn (LPF)."
Hilbrand Nawijn,Hilbrand Pier Anne Nawijn,Lijst Pim Fortuyn,Lijst Pim Fortuyn;Tweede Kamer der Staten-Generaal;Groep Nawijn;Minister voor Vreemdelingenzaken en Integratie;Gemeenteraadslid Zoetermeer CDA;Gemeenteraadslid Zoetermeer LHN,http://nl.dbpedia.org/resource/Hilbrand_Nawijn,"Hilbrand Pier Anne Nawijn (Kampen, 8 augustus 1948) is een Nederlands politicus en advocaat. Voor de Lijst Pim Fortuyn (LPF) was hij in het kabinet-Balkenende I minister voor Vreemdelingenzaken en Integratie. Vervolgens zat hij voor de LPF in de Tweede Kamer der Staten-Generaal, tot hij zich op 22 juni 2005 afsplitste en als onafhankelijk Kamerlid verder ging. Aan de Tweede Kamerverkiezingen van 2006 nam hij deel met de door hem zelf opgerichte Partij voor Nederland. Sinds 2006 is hij fractievoorzitter van de Lijst Hilbrand Nawijn in zijn woonplaats Zoetermeer."
Jan Odink,Berend Jan Odink,Lijst Pim Fortuyn,Staatssecretaris van LNV,http://nl.dbpedia.org/resource/Jan_Odink,"Berend Jan (Jan) Odink (Zwolle, 18 augustus 1944) is een Nederlands politicus. Namens de LPF was hij staatssecretaris op het ministerie van Landbouw, Natuurbehoud en Visserij in het kabinet-Balkenende I.Jan Odink is een is landbouweconoom. Hij studeerde agrarische en industriële bedrijfseconomie aan de Landbouwhogeschool Wageningen. Voordat Odink in de politiek terechtkwam, was hij vanaf 1985 secretaris van het bestuur Productschap Vee en Vlees. Tevens had hij bij het productschap de functie van sectordirecteur rood vlees.Als staatssecretaris was hij onder andere belast met visserij, dierenwelzijn en mestbeleid. Hij verruimde de mogelijkheden om op kokkels te vissen in de Waddenzee en bereikte in december 2002 overeenstemming over een nieuw Europees visserijbeleid, waarbij de quota voor onder andere schol en kabeljauw werden verlaagd. Terwijl het kabinet demissionair was, trok hij door zijn voorganger ingediende wetsvoorstellen in over de huisvesting van vleeskuikenouderdieren en over een verbod op pelsdierhouderij.Bij de Tweede Kamerverkiezingen 2003 stond Odink 15e op de kandidatenlijst van de LPF, te laag voor een plek in het parlement. Sinds februari 2006 is hij voorzitter van het Productschap Vis."
Jan van Ruiten,Johannes Hendricus Simon van Ruiten,Lijst Pim Fortuyn,Lid Tweede Kamer,http://nl.dbpedia.org/resource/Jan_van_Ruiten,"Johannes Hendricus Simon van Ruiten (Gouda, 23 maart 1931) is een Nederlands bestuurder en voormalig politicus namens de Lijst Pim Fortuyn.Van Ruiten volgde de beroepsopleiding Koopvaardij-officier en had tot 1960 en maritieme loopbaan. Hierna was hij werkzaam in de metaal- en elektrotechniek. Hij was onder meer directeur van een fabriek in transportwerktuigen en vicevoorzitter van de werkgeversorganisatie van de metaal- en elektrotechnische industrie. Hiernaast had hij vele nevenfuncties als bestuurder en of adviseur.Na lid te zijn geweest van de VVD en Leefbaar Nederland volgde hij Pim Fortuyn, van wie op op economisch gebied een belangrijk adviseur was, na diens vertrek bij Leefbaar Nederland in de LPF. Namens deze partij was Van Ruiten van 23 mei 2002 tot 30 januari 2003 lid van de Tweede Kamer. Hij was in die periode het oudste Kamerlid. Namens de fractie hield hij zich bezig met beroepsonderwijs, ouderenzorg en -beleid en met normen en waarden.Van Ruiten is onderscheiden als Officier in de Orde van Oranje-Nassau."
Joost Eerdmans,Bernard Johannes Eerdmans,Lijst Pim Fortuyn,Lid Tweede Kamer;Wethouder in Capelle aan den IJssel;Wethouder in Rotterdam,http://nl.dbpedia.org/resource/Joost_Eerdmans,"Bernard Johannes (Joost) Eerdmans (Harderwijk, 9 januari 1971) is sinds 15 mei 2014 wethouder van Rotterdam namens Leefbaar Rotterdam. Van 23 mei 2002 tot 30 november 2006 was hij lid van de Tweede Kamer. In eerste instantie voor de Lijst Pim Fortuyn, vanaf 20 september 2006 als onafhankelijk Tweede Kamerlid en vanaf 25 september 2006 als fractievoorzitter van de Groep Eerdmans/Van Schijndel.Hij stond bij de Tweede Kamerverkiezingen van 2006 tweede op de lijst van EénNL, maar deze partij kwam niet in de Tweede Kamer. Van 2 maart 2009 tot en met 27 maart 2014 was hij wethouder in Capelle aan den IJssel namens Leefbaar Capelle. Vanaf september 2011 tot december 2013 presenteerde hij het radioprogramma Avondspits van omroepvereniging WNL, nadat hij voor diezelfde omroep het tv-programma Uitgesproken had gepresenteerd."
João Varela,João Varela,Lijst Pim Fortuyn,Lid Tweede Kamer,http://nl.dbpedia.org/resource/João_Varela,"João Varela (Santa Catharina (Kaapverdië), 19 oktober 1974) is een voormalig Nederlands politicus van Kaapverdische afkomst. Hij was van 2002 tot 2006 lid van de Tweede Kamer der Staten-Generaal namens de Lijst Pim Fortuyn (LPF)."
Khee Liang Phoa,Khee Liang Phoa,Lijst Pim Fortuyn,Staatssecretaris gezins- en emancipatiezaken,http://nl.dbpedia.org/resource/Khee_Liang_Phoa,"Khee Liang Phoa (Rotterdam, 3 mei 1955) is een Nederlands voormalig politicus. Hij was staatssecretaris voor Emancipatie en Familiezaken in het eerste kabinet-Balkenende (2002-2003) namens de LPF. Hij werd op 9 september 2002 tot staatssecretaris beëdigd, als opvolger van Philomena Bijlhout die op 22 juli na enkele uren was afgetreden en aan wie op 23 juli eervol ontslag was verleend. Eerst werd Fiona de Vilder voorgedragen voor de functie maar na een gesprek met Balkenende bedankte zij. Na de val van het kabinet-Balkenende I op 16 oktober 2002, duurde het tot 27 mei 2003 tot Phoa met de rest van het kabinet vervangen werd."
Margot Kraneveldt,Margot Kraneveldt-van der Veen,Lijst Pim Fortuyn,Lid Tweede Kamer,http://nl.dbpedia.org/resource/Margot_Kraneveldt,"Margot Kraneveldt-van der Veen (Hilversum, 26 mei 1967) is een Nederlands politica en voormalig Tweede Kamerlid namens de Partij van de Arbeid. Namens de PvdA was ze van 10 april tot 8 mei 2012 lid van de Tweede Kamer der Staten-Generaal. Eerder, van 2007 tot 2010 was Kraneveldt Tweede Kamerlid. Van 2003 tot 2006 was ze ook al lid van de Tweede Kamer, maar namens de Lijst Pim Fortuyn. Daarvoor was ze als beleidsmedewerker betrokken bij de LPF-fractie, op de terreinen onderwijs en wetenschappen, cultuur en media."
Mat Herben,Mathieu Herben,Lijst Pim Fortuyn,Lid Tweede Kamer,http://nl.dbpedia.org/resource/Mat_Herben,"Mathieu Herben (Den Haag, 15 juli 1952) is een voormalig Nederlands ambtenaar, journalist en politicus die landelijk bekend werd als woordvoerder, fractievoorzitter en politiek leider van de Lijst Pim Fortuyn (LPF). Van 23 mei 2002 tot 30 november 2006 was hij lid van de Tweede Kamerfractie voor de LPF. Ook stond hij op de gastenlijst van de Bilderberg-conferenties."
Max Hermans,Max Johannes Lambert Marie Hermans,Lijst Pim Fortuyn,Lid Tweede Kamer,http://nl.dbpedia.org/resource/Max_Hermans,"Max Hermans (Geleen, 16 februari 1974) is een Nederlands politicus. Hermans is woonachtig in Hillegom. Zijn vader J.L.E.M. Hermans was VVD-burgemeester van Hulsberg en later van Hillegom. Zijn grootvader was burgemeester van Ubach over Worms.Van 30 januari 2003 tot 30 november 2006 was hij lid van de Tweede Kamer voor de Lijst Pim Fortuyn. Eerder was hij voor diezelfde partij als fractiemedewerker verantwoordelijk voor beleid omtrent verkeer en waterstaat.Hermans studeerde bestuurskunde aan de Vrije Universiteit te Amsterdam."
Olaf Stuger,Olaf Frederik Stuger,Lijst Pim Fortuyn,Lid Tweede Kamer;Lid Europees Parlement,http://nl.dbpedia.org/resource/Olaf_Stuger,"Olaf Frederik Stuger (Driebergen, 3 mei 1969) is een Nederlands politicus, woonachtig in Bussum. Hij werd in 2014 verkozen tot lid van het Europees Parlement."
Philomena Bijlhout,R.R.Ph. Bijlhout,Lijst Pim Fortuyn,Lid Tweede Kamer;Staatssecretaris gezins- en emancipatiezaken,http://nl.dbpedia.org/resource/Philomena_Bijlhout,"R.R.Ph. (Philomena) Bijlhout (Paramaribo, 13 november 1957) is een Nederlandse televisiepresentatrice en voormalig politica van Surinaamse afkomst.Bijlhout is bekend geworden doordat zij de kortstzittende staatssecretaris is geweest die Nederland ooit heeft gekend. Zij was slechts gedurende enkele uren staatssecretaris van Emancipatiezaken in het Kabinet-Balkenende I (2002). Tot dat ogenblik was het record van kortstzittende staatssecretaris op een haar na twintig jaar in handen geweest van Charles Schwietert, die ingaande 8 november 1982 namens de VVD drie dagen staatssecretaris van Defensie was in het kabinet-Lubbers I."
Rob Hessing,Robertus Hendricus Hessing,Lijst Pim Fortuyn,Lid Eerste Kamer;Staatssecretaris van Binnenlandse Zaken,http://nl.dbpedia.org/resource/Rob_Hessing,"Robertus Hendricus (Rob) Hessing (Den Haag, 23 juni 1942) is een Nederlandse oud-politieman die namens de LPF in kabinet-Balkenende I de functie van staatssecretaris van Binnenlandse Zaken en Koninkrijksrelaties had. Van 2003 tot 2007 was hij lid van de Eerste Kamer der Staten-Generaal."
Roelf de Boer,Roelf Hendrick de Boer,Lijst Pim Fortuyn,Vicepremier;Minister van Verkeer en Waterstaat en Vicepremier;Wethouder in Rotterdam,http://nl.dbpedia.org/resource/Roelf_de_Boer,"Roelf Hendrick de Boer (Rotterdam, 9 oktober 1949) is een Nederlands bestuurder en voormalig politicus.Hij was namens de Lijst Pim Fortuyn (LPF) minister van Verkeer en Waterstaat in het kabinet-Balkenende I, alhoewel hij tot op het moment van zijn benoeming lid was van de VVD. Lid van de LPF werd hij pas na zijn aantreden als minister. Onder druk van de Tweede Kamer gaf hij enige tijd later zijn VVD-lidmaatschap op. Na de val van het kabinet en het aftreden van zijn collega en partijgenoot Eduard Bomhoff werd hij vice-premier.De Boer wist, ondanks de korte tijd dat hij minister was, een paar keer het nieuws te halen door zijn voorstellen. Zo wilde hij het beboeten voor lichte snelheidsovertredingen afschaffen en daagde hij met succes de NS voor de rechter, nadat deze besloten had de prijzen van het treinkaartje op 31 december 2002 én op 1 januari 2003 met ruim vier procent te verhogen.Na de beëdiging van het kabinet-Balkenende II verdween hij uit de actieve politiek en was hij onder meer actief als voorzitter van de havenwerkgevers in Rotterdam en algemeen voorzitter van Koninklijk Nederlands Vervoer. Wel meldde De Boer zich weer aan als VVD-lid. In mei 2006 werd hij namens de VVD wethouder in Rotterdam, met de portefeuille haven, energie en milieu. In april 2007 trad hij af wegens gezondheidsproblemen. De maanden ervoor was hij al met ziekteverlof.Op 1 augustus 2008 is Roelf de Boer begonnen als voorzitter van de NVZ vereniging van ziekenhuizen. Per 16 december 2008 is Roelf de Boer de nieuwe Algemeen Voorzitter van de RAI Vereniging. Hij is tevens voorzitter van de afdeling Auto's bij de RAI Vereniging."
Steven van Eijck,Steven Richard Antonius van Eijck,Lijst Pim Fortuyn,Staatssecretaris van Financiën,http://nl.dbpedia.org/resource/Steven_van_Eijck,"Steven Richard Antonius van Eijck (Rotterdam, 4 augustus 1959) is een voormalig Nederlands politicus. Namens de Lijst Pim Fortuyn was hij staatssecretaris op het departement Financiën in het kabinet-Balkenende I."
Vic Bonke,Felix Ignatius Maria Bonke,Lijst Pim Fortuyn,Lid Tweede Kamer,http://nl.dbpedia.org/resource/Vic_Bonke,"Felix Ignatius Maria (Vic) Bonke (Amsterdam, 2 januari 1940) is een voormalig Nederlands politicus. Namens de Lijst Pim Fortuyn (LPF) was hij in de periode 2002-2003 lid van de Tweede Kamer.Bonke, die in 1968 gepromoveerd was in de geneeskunde, was hoogleraar vegetatieve fysiologie en rector magnificus van de Universiteit Maastricht. Hij werd in 1999 door het college van bestuur van de universiteit op non actief gesteld als decaan van de faculteit geneeskunde na een conflict. In 2001 sloot Bonke zich aan bij Leefbaar Nederland. Later volgde hij voorman Pim Fortuyn toen deze uit Leefbaar Nederland werd gezet en zijn eigen partij LPF oprichtte. Bonke werd vervolgens bij de Tweede Kamerverkiezingen 2002 gekozen als Kamerlid.In de Kamer was hij woordvoerder onderwijs namens zijn partij. Hij speelde tevens een bemiddelende rol in de vele conflicten binnen zijn fractie. Bij de Tweede Kamerverkiezingen 2003 stond hij - wederom - op een negende plaats op de kandidatenlijst. Deze plek bleek uiteindelijk niet verkiesbaar aangezien de LPF acht zetels haalde."
Anja Hazekamp,A.A.H. Hazekamp,Partij voor de Dieren,Lid van de Tweede Kamer;Lid van het Europees Parlement;Lid van de Provinciale Staten van Groningen;Lid van de Tweede Kamer;Lid van het Europees Parlement;Lid van de Provinciale Staten van Groningen,http://nl.dbpedia.org/resource/Anja_Hazekamp,"A.A.H. (Anja) Hazekamp (Ter Apelkanaal, 21 januari 1968) is een Nederlands politica namens de Partij voor de Dieren. Hazekamp studeerde biologie aan de Rijksuniversiteit Groningen. Daarna was zij werkzaam als beleidsmedewerker bij Faunabescherming en de zeehondencrèche in Pieterburen, en in een vergelijkbare functie bij Stichting AAP.Sinds 2007 is Hazekamp lid van de Provinciale Staten van Groningen. Ze was de derde kandidaat voor de Partij voor de Dieren bij de Europese Parlementsverkiezingen van 2009 en ook derde op de lijst bij de Tweede Kamerverkiezingen van 2010; deze plaatsen waren niet voldoende voor een directe benoeming.Op 24 januari 2012 werd Hazekamp beëdigd als tijdelijk lid van de Tweede Kamer als vervanger van Marianne Thieme die met zwangerschapsverlof was gegaan; dit lidmaatschap eindigde op 12 mei 2012.Bij de Europese Parlementsverkiezingen van 2014 was Hazekamp lijsttrekker voor de Partij voor de Dieren. Zij werd per 1 juli 2014 benoemd tot lid van het Europees Parlement."
Bruno Braakhuis,Bruno Adrianus Maria Braakhuis,Partij voor de Dieren,Lid Tweede Kamer,http://nl.dbpedia.org/resource/Bruno_Braakhuis,"Bruno Adrianus Maria Braakhuis (Haarlem, 10 juli 1961) is een Nederlands voormalig politicus. Hij was van 2010 tot 2012 lid van de Tweede Kamer der Staten-Generaal namens GroenLinks."
Christine Teunissen,Christine Teunissen,Partij voor de Dieren,Lid van de Eerste Kamer;Lid Eerste Kamer;Lid gemeenteraad van Den Haag;Lid van de Gemeenteraad van Den Haag;Lid van de gemeenteraad van Den Haag;Lid van de Eerste Kamer;Lid Eerste Kamer;Lid gemeenteraad van Den Haag;Lid van de Gemeenteraad van Den Haag;Lid van de gemeenteraad van Den Haag,http://nl.dbpedia.org/resource/Christine_Teunissen,"Christine Teunissen (1985) is een Nederlands politica namens de Partij voor de Dieren.Tussen 2005 en 2011 studeerde Teunissen geschiedenis aan de Universiteit Leiden, waar ze zich richtte op sociale bewegingen. Tussen 2012 en 2014 werkte ze voor de Tweede Kamerfractie van de Partij voor de Dieren, als persvoorlichter. In 2014 werd ze raadslid voor de partij in Den Haag. Sinds 2015 werkte ze voor de Eerste Kamerfractie van de Partij voor de Dieren. Op 29 maart werd haar door het congres van de Partij voor de Dieren de tweede, verkiesbare, plek op de lijst gegeven voor de Eerste Kamerverkiezingen 2015. Aangezien de Partij voor de Dieren bij deze verkiezingen twee zetels wist te behalen, werd de 29-jarige Teunissen op 9 juni 2015 geïnstalleerd als het jongste Eerste Kamerlid."
Esther Ouwehand,Esther Ouwehand,Partij voor de Dieren,Tweede Kamer;Fractievoorzitter,http://nl.dbpedia.org/resource/Esther_Ouwehand,"Esther Ouwehand (Katwijk, 10 juni 1976) is een Nederlandse politica voor de Partij voor de Dieren."
Marianne Thieme,Marianne Louise Thieme,Partij voor de Dieren,Politiek leider;Tweede Kamerverkiezingen 2010;Lijsttrekker;Lid Tweede Kamer;Partijvoorzitter;Tweede Kamerverkiezingen 2003;Europese Parlementsverkiezingen 2004;Fractievoorzitter;Tweede Kamerverkiezingen 2012;Tweede Kamerverkiezingen 2006,http://nl.dbpedia.org/resource/Marianne_Thieme,"Marianne Louise Thieme (Ede, 6 maart 1972) is een Nederlandse dierenactiviste, juriste, publiciste en politica. Zij is medeoprichtster van de Partij voor de Dieren en tevens fractievoorzitter van deze partij in de Tweede Kamer. Ook schrijft zij over dierenrechten."
Niko Koffeman,Niko Karel Koffeman,Partij voor de Dieren,Lid Eerste Kamer;Fractievoorzitter,http://nl.dbpedia.org/resource/Niko_Koffeman,"Niko Karel Koffeman (Maassluis, 12 mei 1958) is een Nederlands politicus, communicatieadviseur en dierenrechtenactivist. Hij was jarenlang een belangrijk adviseur van de Socialistische Partij (SP) en betrokken bij onder meer Stichting Wakker Dier, de Bont voor Dieren en de televisieomroep LLiNK. Koffeman is op 12 juni 2007 namens de Partij voor de Dieren als lid van de Eerste Kamer der Staten-Generaal beëdigd."
Bertus Maris,Bertus Wilke Maris,Boerenpartij (Nederland),lid Provinciale Staten van Utrecht;lid gemeenteraad van Benschop;lid Eerste Kamer,http://nl.dbpedia.org/resource/Bertus_Maris,"Bertus Wilke Maris (Zwolle, 25 maart 1939) is een voormalig Nederlands politicus.Maris is een jurist en ondernemer die eerst de Boerenpartij in de Eerste Kamer vertegenwoordigde en later als onafhankelijke optrad. Hij was een politieke 'nomade' ter rechterzijde. Na zijn vertrek bij de Boeren sloot hij zich aan bij de Conservatieve Volkspartij en weer later bij het Algemeen Ouderen Verbond. Hij zat voor die laatste partij in de Utrechtse Staten, maar was daar na 1997 met onder meer Martin Batenburg actief in het Nieuw Solidair Ouderen Verbond."
Nico Verlaan,Nico Verlaan,Boerenpartij (Nederland),Provinciale Staten (Nederland);Zuid-Holland;Gemeenteraad;Tweede Kamer der Staten-Generaal;Fractievoorzitter gemeenteraad;Amsterdam (gemeente),http://nl.dbpedia.org/resource/Nico_Verlaan,"Nico Verlaan (Amsterdam, 12 augustus 1932) is een Nederlands voormalig politicus.Verlaan was een Amsterdamse ondernemer die zich met tal van zaken bezighield. Zo had hij onder meer een importbedrijf en was hij hotelier. Later beschikte hij over een eigen vervoers- en handelsonderneming in Amerongen.Ook was hij actief in de politiek. In eerste instantie zat hij bij de VVD maar deze partij ontnam hem zijn partijlidmaatschap nadat hij een Liberale Unie had opgericht. Vervolgens was hij in diverse andere partijtjes actief. Eerst nam hij als lijsttrekker van de partij Veilig Verkeer en 100.000 woningen per jaar deel aan de Tweede Kamerverkiezingen van 1963 maar wist geen zetel te behalen. Dit lukte hem vier jaar later wel toen hij bij de Tweede Kamerverkiezingen van 1967 voor de Boerenpartij Tweede Kamerlid werd.Hij bleef in 1968 voorman Hendrik Koekoek trouw bij de splitsing in de fractie van de Boerenpartij. Hij moest die fractie als Groep Verlaan in 1971 alsnog verlaten toen hij kandidaat werd voor een door kolonel b.d. Van Velsen geleide politieke groepering, de Lijst-Van Velsen. Daar deze bij de Tweede Kamerverkiezingen van 1971 onvoldoende stemmen kreeg voor een zetel, kwam er in datzelfde jaar ook een einde aan zijn Kamerlidmaatschap.Ongeveer gelijktijdig met zijn Kamerperiode zat hij twee jaar in de Provinciale Staten van Noord-Holland en vier jaar in de gemeenteraad van Amsterdam. Al in een vroeg stadium van zijn raadslidmaatschap voor de Boerenpartij ontstond er ruzie en splitste een deel van de raadsfractie zich af. Ook mocht hij niet meer deelnemen aan de raadscommissies omdat hij steun had betuigd aan het de hand boven het hoofd houden van de vanwege zijn oorlogsverleden in opspraak geraakte Boerenpartij-senator Hendrik Adams door partijleider Hendrik Koekoek."
Wouter van Harselaar,Wouter Marinus van Harselaar,Boerenpartij (Nederland),Tweede Kamer der Staten-Generaal;Utrecht (provincie);Provinciale Staten (Nederland),http://nl.dbpedia.org/resource/Wouter_van_Harselaar,"Wouter Marinus van Harselaar (Leersum, 3 september 1929) is een Nederlands voormalig landbouwer en politicus."
Aad Kosto,Arie  Kosto,Partij van de Arbeid (Nederland),Minister van Justitie;Lid Tweede Kamer;Lid Raad van State;Staatssecretaris van Justitie,http://nl.dbpedia.org/resource/Aad_Kosto,"Arie (Aad) Kosto (Oegstgeest, 9 januari 1938) is een voormalig Nederlands politicus van de Partij van de Arbeid. Hij was staatssecretaris en korte tijd minister van justitie in het Kabinet-Lubbers III."
Ad Melkert,Adrianus Petrus Wilhelmus Melkert,Partij van de Arbeid (Nederland),Tweede Kamer der Staten-Generaal;Wereldbank;Fractievoorzitter;Bewindvoerder;Lid Tweede Kamer;Minister van Sociale Zaken en Werkgelegenheid;Speciaal VN-gezant - Irak;Onder-Administrateur - Verenigde Naties-Ontwikkelingsprogramma,http://nl.dbpedia.org/resource/Ad_Melkert,"Adrianus Petrus Wilhelmus (Ad) Melkert (Gouda, 12 februari 1956) is een Nederlands politicus en bestuurder. Hij is lid van de Partij van de Arbeid (PvdA) en was voor deze partij Kamerlid, minister en fractievoorzitter. Van juli 2009 tot 1 oktober 2011 was Melkert Speciale Vertegenwoordiger van de Secretaris-generaal van de Verenigde Naties in Irak."
Adri Duivesteijn,Adrianus Theodorus Duivesteijn,Partij van de Arbeid (Nederland),Lid Tweede Kamer;Lid Eerste Kamer;Lid gemeenteraad Den Haag;Wethouder in Almere;Wethouder in Den Haag,http://nl.dbpedia.org/resource/Adri_Duivesteijn,"Adrianus Theodorus (Adri) Duivesteijn (Den Haag, 27 augustus 1950) is een Nederlands politicus. Hij is namens de Partij van de Arbeid lid van de Eerste Kamer. Eerder was hij lid van de Tweede Kamer en wethouder in Den Haag en Almere."
Adriaan van Mierlo,Adriaan van Mierlo,Partij van de Arbeid (Nederland),Lid Tweede Kamer;Lid Provinciale Staten;Wethouder in Heusden;Lid gemeenteraad in Heusden;Lid Tweede Kamer;Lid Provinciale Staten;Wethouder in Heusden;Lid gemeenteraad in Heusden,http://nl.dbpedia.org/resource/Adriaan_van_Mierlo,"Adriaan André Gerardus (Adriaan) van Mierlo (Tilburg, 12 maart 1942) is een voormalig Nederlandse politicus voor de PvdA."
Agaath Witteman,Agatha Catharina Cornelia Witteman,Partij van de Arbeid (Nederland),Eerste Kamer,http://nl.dbpedia.org/resource/Agaath_Witteman,"Agatha Catharina Cornelia (Agaath) Witteman (Oegstgeest, 5 april 1942) is een Nederlands theatermaakster en oud-politica. Van 2003 tot 2007 was zij namens de Partij van de Arbeid lid van de Eerste Kamer der Staten-Generaal. Witteman is getrouwd met acteur Hans Croiset. Samen hebbem ze drie kinderen en zes kleinkinderen.Witteman studeerde Romaanse talen aan de Rijksuniversiteit Leiden en later kunstgeschiedenis aan de Katholieke Universiteit Nijmegen en theaterwetenschap en klassieke archeologie aan de Universiteit van Amsterdam. Ze was werkzaam als theaterregisseur en docent Grieks theater en kunst-cultuur. In 1984 was zij mede-oprichtster van Theater Persona en van 1988 tot 1993 artistiek leidster van Theater van het Oosten te Arnhem. Van 1991 tot 1993 was Witteman bijzonder hoogleraar kunst en cultuur aan de Katholieke Universiteit Nijmegen. Van 1989 tot 1995 was ze kroonlid van de Raad voor de Kunst. Verder was zij onder meer bestuurslid van Theater de Engelenbak.Bij de Eerste Kamerverkiezingen 2003 werd Witteman gekozen in de senaat. Ze hield zich in de senaat bezig met onderwijs en cultuur en was voorzitter van de vaste commissie voor Cultuur."
